personnel_id,unit_type,role_operational_intensity,duty_hours_weekly,overtime_hours_weekly,deployment_duration_months,deployments_last_3_years,days_since_last_leave,leave_days_taken_annual,recovery_rest_days_monthly,avg_sleep_hours,sleep_disruption_index,physical_readiness_score,wellness_survey_score,peer_support_score,environmental_hardship_score,risk_score,risk_category
PX-13089,Logistics & ASC,Low,40.8,0.0,6.1,1,187,36.3,6.3,6.8,0.5,85.3,20.4,3.8,1.4,0.02,LOW
PX-12659,Infantry,High,62.6,9.9,5.7,3,172,27.9,1.5,6.0,7.4,87.9,16.6,3.4,3.5,0.381,MODERATE
PX-13458,Infantry,High,61.6,9.8,8.6,5,209,15.9,3.0,4.3,9.5,76.9,12.3,4.6,3.8,0.514,MODERATE
PX-13676,Artillery,High,61.2,8.9,6.0,4,193,26.5,2.6,5.3,8.4,78.5,14.9,4.7,3.0,0.391,MODERATE
PX-14939,Infantry,High,52.0,3.4,6.8,0,213,27.2,2.4,4.8,6.8,74.5,14.8,3.5,4.0,0.433,MODERATE
PX-10773,Logistics & ASC,Medium,48.8,2.3,4.6,4,192,40.7,4.6,5.8,3.4,89.6,20.5,4.4,2.2,0.039,LOW
PX-10909,Artillery,Low,48.8,0.0,3.5,2,119,43.6,2.8,6.7,1.6,84.4,18.8,3.8,1.8,0.02,LOW
PX-11942,Armored,High,49.3,2.2,15.9,0,365,14.8,0.5,5.0,7.0,66.6,15.6,3.7,3.2,0.601,MODERATE
PX-13148,Logistics & ASC,High,62.4,10.9,7.4,2,283,28.6,2.4,5.4,8.8,74.7,12.7,2.8,4.1,0.577,MODERATE
PX-14943,Medical Corps,Medium,49.4,0.0,4.1,2,126,49.0,2.2,5.6,,78.7,20.2,4.2,2.8,0.088,LOW
PX-10570,Artillery,Low,37.1,0.0,4.1,1,196,57.5,5.1,7.9,2.6,69.5,25.7,4.4,2.1,0.02,LOW
PX-12118,Infantry,Medium,45.2,0.0,7.3,3,179,39.5,2.9,6.0,3.7,74.6,21.0,3.2,2.9,0.166,LOW
PX-12334,Armored,Medium,50.2,0.7,7.3,2,220,45.6,2.4,4.8,5.1,65.9,16.0,3.7,2.4,0.346,LOW
PX-14153,Armored,Extreme,63.8,12.1,8.8,2,268,16.8,3.2,5.5,9.3,76.3,17.1,4.4,5.0,0.48,MODERATE
PX-13956,Medical Corps,Medium,44.3,0.0,4.8,0,221,37.0,5.2,6.6,1.7,74.9,20.2,3.1,2.6,0.083,LOW
PX-12503,Air Defense,Medium,40.2,0.0,13.6,2,290,37.1,4.4,6.9,2.1,82.0,22.4,3.9,2.2,0.159,LOW
PX-10369,Logistics & ASC,Low,44.6,0.0,2.7,1,100,46.4,4.6,6.6,1.5,89.2,22.0,3.6,1.6,0.02,LOW
PX-13996,Infantry,Extreme,64.7,14.8,12.4,1,282,9.4,0.3,4.0,10.0,64.2,7.3,3.6,3.9,0.825,ELEVATED
PX-13118,Artillery,Medium,45.8,0.9,8.5,2,198,28.2,3.5,5.9,2.4,78.7,15.3,3.6,1.9,0.146,LOW
PX-10622,Medical Corps,Medium,48.4,2.3,3.7,3,161,39.5,1.8,6.2,5.1,86.1,18.1,4.1,2.9,0.02,LOW
PX-14946,Combat Engineers,Extreme,62.1,8.8,9.4,1,237,17.4,0.7,4.4,10.0,71.8,11.7,3.4,4.6,0.705,ELEVATED
PX-14042,Infantry,High,55.2,5.6,5.9,2,167,27.7,1.4,5.7,5.3,75.9,18.3,3.8,3.7,0.275,LOW
PX-12151,Infantry,High,56.9,6.2,8.3,2,217,19.3,2.1,5.2,6.0,73.3,13.4,3.5,4.0,0.399,MODERATE
PX-10241,Air Defense,Medium,53.7,1.9,4.1,0,144,47.8,3.2,6.4,4.3,68.1,20.7,4.5,2.8,0.04,LOW
PX-14024,Air Defense,High,60.3,10.0,6.6,3,171,27.5,0.2,5.4,8.1,76.2,14.9,3.6,3.5,0.467,MODERATE
PX-11187,Medical Corps,Low,44.2,0.0,3.0,1,128,44.9,3.0,6.9,2.5,68.8,25.6,4.8,1.7,0.02,LOW
PX-11299,Artillery,Extreme,72.5,18.0,11.0,2,288,10.1,0.0,3.5,10.0,70.9,9.4,3.4,4.5,0.914,ELEVATED
PX-10255,Signals,High,62.8,11.7,6.8,1,183,26.8,0.3,4.9,7.2,77.9,14.2,4.0,3.7,0.476,MODERATE
PX-10364,Signals,High,50.9,0.0,7.2,5,184,28.6,2.7,6.1,6.2,94.3,19.7,4.7,3.0,0.098,LOW
PX-10635,Infantry,High,54.6,5.9,7.1,1,297,16.5,3.0,6.5,4.5,80.8,16.1,3.1,4.1,0.32,LOW
PX-12309,Logistics & ASC,Medium,44.9,0.0,10.5,4,296,30.9,3.5,7.3,2.8,92.9,19.1,3.8,2.3,0.057,LOW
PX-14837,Infantry,High,57.8,8.4,5.9,2,158,35.7,1.6,5.8,5.8,80.4,17.9,3.4,3.0,0.251,LOW
PX-13637,Infantry,High,53.3,6.7,12.0,2,336,13.6,2.6,5.8,4.5,83.1,19.3,4.4,4.1,0.302,LOW
PX-11507,Armored,Low,52.5,3.5,18.0,2,365,25.2,1.8,6.6,1.6,79.4,16.9,3.0,1.3,0.239,LOW
PX-10572,Armored,High,54.2,3.6,8.5,4,202,17.9,0.3,5.9,5.4,76.2,14.6,3.5,3.9,0.361,LOW
PX-11303,Artillery,Medium,47.8,2.3,3.6,1,128,41.4,3.4,6.0,3.2,78.6,22.4,4.1,2.4,0.02,LOW
PX-11171,Signals,Medium,39.7,0.0,3.6,1,143,37.3,3.4,7.5,1.4,83.1,28.9,3.7,2.6,0.02,LOW
PX-13863,Artillery,High,56.7,7.2,6.8,2,185,23.9,3.2,5.2,5.5,75.7,17.9,3.6,3.8,0.384,MODERATE
PX-14115,Artillery,High,57.6,8.7,10.8,3,262,21.5,0.6,6.5,5.5,73.0,14.6,3.7,3.9,0.344,LOW
PX-11682,Signals,Medium,45.1,0.0,9.4,1,239,38.8,5.9,5.8,3.7,79.7,12.3,2.8,2.3,0.195,LOW
PX-13107,Signals,High,52.3,2.6,12.4,2,277,28.5,1.3,4.9,5.7,73.6,14.2,4.1,3.9,0.468,MODERATE
PX-13340,Artillery,Medium,52.8,5.7,4.2,1,159,27.6,3.6,5.9,2.3,76.2,13.3,3.7,2.8,0.108,LOW
PX-10705,Combat Engineers,High,54.3,1.1,6.1,2,162,37.7,1.1,5.2,5.3,76.0,14.3,3.8,3.6,0.316,LOW
PX-10002,Logistics & ASC,Medium,55.3,4.1,3.5,1,124,41.9,2.0,6.6,1.9,85.2,23.4,4.4,3.0,0.02,LOW
PX-11481,Infantry,High,54.7,9.2,7.5,1,190,25.3,3.7,6.0,5.3,72.5,23.0,3.9,4.1,0.171,LOW
PX-12314,Artillery,Medium,43.1,0.0,4.7,1,129,42.6,4.1,7.0,3.5,84.8,24.7,3.9,2.4,0.02,LOW
PX-10273,Combat Engineers,Extreme,64.5,8.4,11.4,1,270,11.3,0.0,4.0,10.0,58.1,11.5,4.0,4.8,0.82,ELEVATED
PX-14090,Infantry,High,61.7,12.2,6.8,0,179,41.9,0.0,5.3,7.8,70.3,8.4,2.5,3.8,0.515,MODERATE
PX-13477,Logistics & ASC,Medium,50.5,2.2,3.5,1,168,47.9,2.2,6.9,2.5,100.0,22.5,4.6,2.6,0.02,LOW
PX-13274,Signals,Low,40.6,0.0,7.1,2,196,44.9,4.0,6.9,1.8,85.0,17.4,3.0,1.4,0.02,LOW
PX-11677,Armored,Extreme,65.5,13.2,7.1,0,190,19.5,1.1,4.3,10.0,62.3,,4.0,4.4,0.655,ELEVATED
PX-13528,Air Defense,High,46.8,0.0,6.9,2,174,34.2,0.0,5.5,5.3,68.3,14.1,3.7,3.0,0.231,LOW
PX-14835,Air Defense,Low,47.8,0.0,9.9,0,224,43.7,3.6,7.0,2.0,99.1,21.8,4.6,1.4,0.02,LOW
PX-12562,Signals,Low,45.5,0.0,5.3,2,140,38.1,6.1,7.2,1.7,88.4,,3.5,2.2,0.02,LOW
PX-12176,Armored,Low,43.9,0.0,6.0,2,155,34.2,5.6,6.3,2.4,84.7,22.0,3.6,2.1,0.02,LOW
PX-13680,Signals,Low,44.1,0.0,2.7,0,102,55.0,5.4,8.2,0.0,94.0,25.5,3.8,1.9,0.02,LOW
PX-13694,Signals,Medium,50.6,2.4,6.7,1,251,34.8,2.8,5.7,3.8,85.6,19.6,4.4,2.7,0.163,LOW
PX-10710,Medical Corps,Medium,54.2,2.4,6.4,4,168,37.7,2.8,5.6,3.1,89.0,16.3,3.7,2.5,0.199,LOW
PX-13270,Medical Corps,Medium,60.7,9.2,3.6,4,117,45.5,0.5,6.0,6.6,71.4,16.6,1.8,2.2,0.378,LOW
PX-12496,Combat Engineers,Medium,51.1,4.6,7.4,0,186,43.6,1.4,6.6,2.7,85.5,21.0,4.4,2.6,0.058,LOW
PX-13094,Armored,Low,36.3,0.0,15.9,1,365,26.8,5.2,7.1,1.7,78.5,20.6,3.8,1.4,0.119,LOW
PX-14679,Logistics & ASC,Medium,56.5,5.4,4.1,1,128,47.6,3.9,4.8,,,16.3,2.7,2.1,0.305,LOW
PX-10778,Air Defense,High,60.3,11.0,12.0,1,284,39.3,0.2,5.3,6.7,65.5,14.5,4.4,3.1,0.512,MODERATE
PX-11854,Logistics & ASC,Low,50.2,2.6,6.8,0,231,39.9,5.5,6.4,1.8,87.8,16.7,3.0,1.5,0.054,LOW
PX-10800,Signals,Medium,52.8,1.1,5.5,2,188,39.9,2.1,6.7,3.1,84.3,19.2,4.4,2.2,0.028,LOW
PX-14781,Medical Corps,Medium,47.5,0.0,6.0,1,224,45.2,2.4,5.6,6.6,88.4,17.1,3.9,2.4,0.203,LOW
PX-14151,Combat Engineers,High,52.3,2.7,11.1,4,273,17.8,0.6,5.3,,69.3,16.4,4.8,3.3,0.384,MODERATE
PX-13047,Signals,Extreme,63.3,13.0,9.6,0,219,11.1,0.3,4.3,9.5,70.7,10.3,3.6,4.2,0.727,ELEVATED
PX-13802,Artillery,Low,41.4,0.0,8.9,0,207,41.4,3.8,8.2,0.0,95.7,24.8,4.6,2.0,0.02,LOW
PX-11218,Signals,Low,44.0,0.0,4.3,1,144,53.2,3.6,7.6,0.2,87.1,21.7,3.0,1.6,0.02,LOW
PX-10920,Infantry,High,53.6,6.3,7.1,0,235,27.4,0.8,4.6,7.6,74.2,19.6,4.3,3.6,0.427,MODERATE
PX-12450,Signals,Low,38.7,0.0,5.5,3,149,39.5,2.0,8.5,0.4,89.7,29.3,3.8,2.2,0.02,LOW
PX-11123,Infantry,Medium,50.1,0.0,6.8,2,221,34.1,3.2,7.2,2.9,73.3,22.8,3.7,2.5,0.02,LOW
PX-14498,Logistics & ASC,Extreme,54.7,3.6,12.3,3,305,5.0,0.6,5.2,7.3,68.0,18.2,4.5,4.3,0.517,MODERATE
PX-13531,Infantry,Low,58.8,8.1,4.3,2,122,55.3,2.7,6.7,0.2,81.2,17.5,3.4,2.0,0.02,LOW
PX-12187,Combat Engineers,Medium,50.2,3.0,7.0,1,182,34.8,1.1,6.5,3.7,76.1,19.2,3.1,1.9,0.162,LOW
PX-13957,Medical Corps,Medium,58.7,5.9,4.3,0,163,38.1,3.2,6.3,4.2,86.4,15.5,3.5,2.9,0.067,LOW
PX-12791,Infantry,High,54.5,4.9,11.5,0,253,32.7,2.0,6.3,4.9,75.8,15.4,4.0,3.5,0.353,LOW
PX-10220,Artillery,Low,50.9,1.8,4.6,2,136,54.0,1.6,7.4,0.0,93.3,19.8,3.2,1.8,0.02,LOW
PX-13593,Infantry,High,57.4,5.1,8.4,3,232,30.3,2.2,4.0,6.9,73.4,15.4,2.9,3.2,0.566,MODERATE
PX-13504,Signals,Medium,62.1,9.7,4.6,1,144,39.2,2.8,5.2,6.7,79.4,15.0,3.6,2.8,0.241,LOW
PX-12044,Medical Corps,Extreme,76.1,20.6,10.3,0,249,16.0,0.0,3.5,10.0,,8.1,4.1,5.0,0.89,ELEVATED
PX-12592,Signals,High,57.8,8.4,11.0,0,243,18.0,2.2,5.5,4.6,64.6,16.5,3.6,3.1,0.391,MODERATE
PX-12927,Combat Engineers,High,52.8,5.5,8.6,2,201,22.0,0.4,6.2,4.7,89.5,,4.6,3.9,0.2,LOW
PX-11736,Logistics & ASC,Low,43.8,0.0,4.8,3,196,47.9,3.9,6.1,3.2,83.0,18.2,3.6,1.4,0.06,LOW
PX-11691,Logistics & ASC,Low,37.9,0.0,8.9,1,216,34.4,3.1,7.5,0.0,74.5,22.5,3.0,1.4,0.02,LOW
PX-10565,Signals,Low,44.7,1.5,5.5,0,203,49.2,3.4,6.1,3.2,78.4,23.7,4.7,1.5,0.02,LOW
PX-12416,Infantry,Medium,52.5,4.6,6.8,3,184,34.0,3.2,6.0,2.7,86.5,14.5,3.9,1.9,0.128,LOW
PX-11650,Artillery,High,64.5,10.7,12.0,3,294,32.3,1.6,6.1,8.6,62.2,16.8,4.5,3.5,0.51,MODERATE
PX-12261,Medical Corps,High,61.1,10.5,7.2,1,197,25.5,1.6,5.7,9.3,84.2,13.1,3.2,3.0,0.428,MODERATE
PX-11900,Combat Engineers,High,55.1,5.7,7.2,3,175,23.2,1.0,5.8,6.4,69.7,11.6,3.4,4.0,0.394,MODERATE
PX-10154,Infantry,Low,46.8,1.5,4.7,3,165,48.5,3.9,7.1,0.6,82.6,19.7,3.6,1.2,0.02,LOW
PX-13834,Artillery,Medium,54.3,5.9,3.8,1,129,39.4,2.6,6.1,3.0,88.6,20.8,4.7,2.9,0.052,LOW
PX-13255,Air Defense,Medium,48.9,0.0,14.5,1,308,18.7,4.2,6.4,2.9,80.5,19.7,4.1,1.9,0.194,LOW
PX-13041,Logistics & ASC,Medium,47.8,1.5,9.9,0,226,38.2,3.9,6.9,3.1,87.7,19.8,2.8,3.0,0.094,LOW
PX-10883,Armored,Extreme,60.1,10.3,14.7,5,365,18.9,0.4,3.5,10.0,65.9,8.9,4.0,4.9,0.819,ELEVATED
PX-13300,Medical Corps,Medium,54.0,5.5,11.9,1,262,26.5,2.7,6.3,2.4,78.3,15.6,3.7,1.9,0.32,LOW
PX-10885,Artillery,Low,48.2,2.0,10.4,0,241,48.6,4.0,6.5,1.2,83.8,18.8,3.9,1.5,0.02,LOW
PX-13920,Infantry,High,52.9,5.4,6.0,0,170,35.4,1.5,4.5,6.9,76.8,12.5,3.8,3.7,0.358,LOW
PX-10003,Signals,Low,41.6,0.0,2.4,1,129,60.0,4.2,7.5,1.6,82.4,24.6,4.4,1.4,0.02,LOW
PX-11387,Artillery,Low,38.0,0.0,3.2,0,108,60.0,5.1,8.5,0.0,100.0,26.6,4.0,1.4,0.02,LOW
PX-11763,Infantry,High,63.3,10.2,14.9,2,319,20.1,0.9,5.7,7.6,75.3,15.0,4.3,3.1,0.52,MODERATE
PX-14853,Infantry,Medium,45.0,0.0,5.5,2,152,45.4,3.1,6.1,0.8,68.2,19.6,2.4,2.6,0.02,LOW
PX-13643,Infantry,Medium,40.1,0.0,5.9,3,165,31.7,4.2,7.1,1.7,90.4,24.2,4.3,2.8,0.02,LOW
PX-14265,Armored,High,59.3,5.5,5.7,2,175,32.5,2.7,5.0,6.8,79.2,16.2,4.7,3.5,0.265,LOW
PX-13227,Infantry,Medium,46.4,0.0,3.5,4,209,49.6,4.9,7.5,0.8,87.4,27.6,4.3,2.8,0.02,LOW
PX-14372,Armored,High,58.5,8.4,8.1,1,198,34.1,1.9,4.2,7.2,73.4,9.7,3.3,4.0,0.584,MODERATE
PX-14359,Signals,Low,46.9,1.2,5.3,0,163,45.4,3.6,6.5,2.3,90.7,18.4,3.0,1.8,0.02,LOW
PX-10423,Infantry,Low,41.9,0.0,3.3,2,262,36.5,3.6,7.5,0.1,89.4,,3.8,2.0,0.02,LOW
PX-12239,Combat Engineers,Extreme,58.8,10.8,7.7,4,216,21.0,0.6,5.4,6.6,69.2,11.5,3.3,4.7,0.394,MODERATE
PX-14519,Infantry,Medium,43.5,0.0,6.8,1,182,44.1,4.1,6.0,3.8,72.5,18.0,3.7,2.8,0.15,LOW
PX-14822,Signals,Medium,53.6,5.6,16.4,1,365,11.1,2.1,6.7,2.3,,18.7,4.3,1.9,0.188,LOW
PX-10519,Air Defense,High,55.1,1.5,7.6,1,213,29.3,3.1,6.2,5.7,90.9,17.1,4.3,4.1,0.227,LOW
PX-10682,Infantry,Medium,45.3,1.5,5.4,1,149,35.5,2.8,6.0,3.9,79.8,23.6,4.0,3.0,0.039,LOW
PX-13601,Infantry,Low,39.8,0.0,2.5,2,110,45.4,4.0,5.9,0.4,88.1,25.1,4.0,1.9,0.02,LOW
PX-10411,Signals,Medium,46.9,1.1,3.7,2,197,39.7,2.8,5.2,5.8,89.7,14.3,3.0,2.4,0.207,LOW
PX-12351,Logistics & ASC,Low,46.0,0.0,2.4,3,92,49.7,3.5,6.4,1.7,68.1,20.1,5.0,1.7,0.02,LOW
PX-13328,Armored,High,50.9,3.6,10.1,3,229,21.3,1.1,5.4,5.4,74.1,18.7,4.6,3.3,0.303,LOW
PX-11203,Signals,Low,49.2,1.4,4.6,1,143,54.2,4.4,7.0,1.3,75.8,20.3,4.1,1.4,0.02,LOW
PX-13136,Logistics & ASC,Medium,50.1,2.3,15.9,1,345,22.4,2.4,7.7,0.1,86.5,17.5,3.0,2.5,0.141,LOW
PX-14668,Logistics & ASC,High,57.1,5.6,7.8,2,218,25.6,1.4,6.1,3.7,96.6,15.3,4.3,3.2,0.134,LOW
PX-12037,Infantry,High,57.7,10.0,18.0,4,365,11.3,2.6,4.9,6.6,79.4,13.7,4.2,3.1,0.512,MODERATE
PX-13280,Signals,Medium,53.3,2.0,8.7,0,254,30.4,4.0,6.2,3.6,81.6,22.0,4.9,2.8,0.112,LOW
PX-14038,Artillery,Medium,46.7,3.2,4.2,2,122,36.8,5.8,7.6,2.1,83.2,,3.1,2.5,0.02,LOW
PX-13844,Medical Corps,Medium,47.4,0.0,3.6,2,110,44.3,2.9,6.7,2.6,81.5,16.3,2.8,2.1,0.02,LOW
PX-14846,Infantry,Extreme,59.8,9.8,7.2,1,208,29.8,0.0,5.3,6.4,76.6,8.5,3.0,4.5,0.463,MODERATE
PX-12766,Armored,High,58.7,4.9,6.1,3,203,37.0,2.2,5.0,6.9,82.8,13.1,3.8,3.9,0.474,MODERATE
PX-10642,Infantry,Extreme,62.7,11.9,9.0,4,211,21.7,1.3,4.4,10.0,79.7,8.9,3.6,4.5,0.705,ELEVATED
PX-10252,Armored,Medium,51.5,2.2,8.9,0,213,47.2,2.8,5.7,4.9,65.3,16.7,4.5,2.8,0.232,LOW
PX-11878,Combat Engineers,High,50.5,4.3,6.1,1,204,23.0,4.0,5.6,7.5,66.6,15.4,3.1,3.9,0.316,LOW
PX-13678,Artillery,High,58.8,5.9,5.6,4,212,25.2,0.8,5.2,6.4,73.6,19.4,3.8,3.7,0.385,MODERATE
PX-11479,Armored,Medium,49.7,0.0,4.7,4,143,48.4,2.5,5.3,4.6,79.7,21.9,3.5,2.2,0.122,LOW
PX-11703,Combat Engineers,Medium,48.1,0.0,4.8,1,143,45.4,4.0,7.4,0.0,89.5,24.5,3.9,2.2,0.02,LOW
PX-12887,Medical Corps,Low,47.4,0.0,8.3,3,196,45.7,4.1,7.0,1.6,94.1,20.9,3.4,1.8,0.02,LOW
PX-12658,Infantry,Medium,51.1,4.0,3.6,1,128,40.5,3.2,5.6,4.0,86.8,23.5,4.2,2.9,0.065,LOW
PX-11428,Air Defense,Medium,46.4,0.0,5.3,0,183,33.3,2.4,6.8,2.6,73.0,23.1,4.0,2.9,0.02,LOW
PX-14383,Armored,Extreme,57.8,3.1,7.7,6,204,26.6,0.0,5.5,7.5,65.5,14.6,4.2,4.2,0.444,MODERATE
PX-10225,Logistics & ASC,Medium,46.3,0.0,15.2,1,342,31.8,2.9,6.9,3.7,80.9,19.3,4.2,2.8,0.216,LOW
PX-11692,Infantry,Extreme,67.8,10.7,8.7,4,218,19.2,1.3,4.2,9.9,72.9,8.6,3.7,4.4,0.661,ELEVATED
PX-10641,Air Defense,High,53.9,4.5,6.3,3,165,36.3,0.0,5.9,5.3,73.6,17.0,4.3,3.0,0.28,LOW
PX-12097,Armored,Medium,54.6,6.6,5.5,1,148,30.9,2.8,6.6,2.0,79.8,21.4,3.7,3.0,0.115,LOW
PX-10179,Signals,Medium,55.2,3.9,5.3,0,168,41.7,3.1,5.4,4.7,77.1,16.0,3.6,2.3,0.212,LOW
PX-13441,Infantry,Medium,52.9,3.4,3.5,1,144,41.7,5.5,5.9,2.2,75.5,19.7,4.2,2.3,0.02,LOW
PX-11737,Infantry,High,65.8,10.5,6.2,3,162,34.7,0.8,4.6,9.0,67.7,16.2,4.0,3.0,0.602,MODERATE
PX-11746,Signals,Medium,49.7,0.0,4.2,2,121,41.4,3.3,6.9,3.3,78.4,19.1,3.7,2.6,0.02,LOW
PX-14062,Infantry,High,55.5,5.5,6.1,2,195,31.5,1.3,5.3,5.7,57.9,11.9,3.7,3.3,0.334,LOW
PX-12215,Infantry,Low,42.0,0.0,4.9,0,195,48.4,4.5,6.8,1.8,78.9,23.5,4.7,1.7,0.02,LOW
PX-12121,Infantry,Low,42.2,0.0,3.1,2,116,51.4,4.1,7.2,1.4,87.9,23.3,3.2,1.8,0.02,LOW
PX-10828,Logistics & ASC,Medium,48.6,1.4,9.9,3,267,41.7,3.2,6.2,3.5,79.7,17.4,3.3,2.3,0.202,LOW
PX-11395,Infantry,Extreme,54.3,5.4,8.7,2,210,26.9,0.6,5.4,7.5,71.9,16.9,3.4,4.6,0.471,MODERATE
PX-13635,Infantry,High,55.3,4.6,13.0,0,289,21.9,2.1,5.1,6.5,61.2,,3.5,3.7,0.489,MODERATE
PX-12194,Combat Engineers,Extreme,60.2,7.3,14.9,2,351,16.6,0.0,5.8,7.7,63.1,15.1,3.2,3.8,0.618,MODERATE
PX-12864,Armored,High,67.2,13.9,18.0,4,365,15.1,0.0,5.1,8.5,80.0,11.4,3.8,3.9,0.765,ELEVATED
PX-12021,Infantry,Extreme,59.1,4.8,8.2,2,276,21.5,0.6,5.1,7.2,77.7,11.8,3.4,4.4,0.581,MODERATE
PX-14312,Artillery,Medium,44.5,0.0,9.8,3,230,29.3,3.6,6.9,1.8,70.5,20.8,4.0,1.8,0.081,LOW
PX-13610,Signals,Low,57.1,4.1,3.7,1,186,40.7,2.4,6.5,3.2,95.3,20.0,4.2,1.6,0.04,LOW
PX-14509,Artillery,Low,36.8,0.0,6.5,3,165,46.4,3.5,7.3,1.7,80.3,26.0,4.0,1.4,0.02,LOW
PX-13166,Infantry,High,55.8,3.9,5.6,3,166,20.8,0.8,6.0,5.5,67.1,15.3,3.5,3.1,0.319,LOW
PX-11159,Air Defense,Extreme,62.2,9.1,10.0,1,234,16.9,0.0,4.3,10.0,68.4,10.2,4.5,4.4,0.674,ELEVATED
PX-10399,Armored,Low,44.2,0.0,5.3,0,146,54.1,3.1,7.3,1.8,87.3,22.4,3.7,2.1,0.02,LOW
PX-14266,Armored,Medium,40.6,0.0,6.9,3,214,50.2,4.7,6.0,3.8,77.0,23.9,4.0,2.9,0.09,LOW
PX-14818,Combat Engineers,High,53.8,6.8,14.7,1,343,22.5,1.0,4.1,7.6,70.8,11.2,3.6,4.0,0.718,ELEVATED
PX-10104,Air Defense,High,54.2,2.4,9.2,3,222,30.7,0.1,6.6,4.6,67.0,15.8,3.4,4.2,0.301,LOW
PX-13194,Signals,High,48.9,0.0,8.9,1,212,31.0,1.0,4.3,7.5,69.4,15.9,4.2,3.9,0.506,MODERATE
PX-14070,Artillery,Medium,46.7,2.8,3.8,1,134,52.5,3.4,7.2,2.9,77.9,25.1,3.8,2.0,0.02,LOW
PX-10807,Infantry,Extreme,68.4,11.0,13.7,4,295,13.6,2.1,4.6,10.0,77.2,11.9,3.7,3.9,0.714,ELEVATED
PX-10296,Medical Corps,Extreme,65.4,14.5,14.1,2,344,6.2,1.1,3.8,10.0,74.4,5.9,4.4,4.3,0.797,ELEVATED
PX-14241,Air Defense,Medium,53.9,4.1,4.0,0,135,43.1,3.7,6.7,3.0,80.8,24.2,4.5,2.8,0.02,LOW
PX-12341,Infantry,Medium,55.8,5.2,4.3,1,126,40.7,4.6,6.4,4.7,75.5,17.4,4.3,2.8,0.02,LOW
